Azure Sphere,Release Notes,11796,CVE-2020-16970,Azure Sphere Unsigned Code Execution Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-16998,DirectX Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-16998,DirectX Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-16999,Windows WalletService Information Disclosure Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-16999,Windows WalletService Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-16999,Windows WalletService Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-16999,Windows WalletService Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-16999,Windows WalletService Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-16999,Windows WalletService Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-16999,Windows WalletService Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-16999,Windows WalletService Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-16999,Windows WalletService Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-16999,Windows WalletService Information Disclosure Vulnerability
Windows 10 Version 20H2 for ARM64-based Systems,4586781,11802,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 10 Version 20H2 for ARM64-based Systems,4586781,11802,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17000,Remote Desktop Protocol Client Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17001,Windows Print Spooler Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17004,Windows Graphics Component Information Disclosure Vulnerability
Microsoft Office 2010 Service Pack 2 (32-bit editions),4484455,10521,CVE-2020-17019,Microsoft Excel Remote Code Execution Vulnerability
Microsoft Office 2019 for 32-bit editions,Click to Run,11573,CVE-2020-17020,Microsoft Word Security Feature Bypass Vulnerability
Microsoft Word 2016 (32-bit edition),4486719,10746,CVE-2020-17020,Microsoft Word Security Feature Bypass Vulnerability
Microsoft Office 2010 Service Pack 2 (32-bit editions),4486738,10521,CVE-2020-17020,Microsoft Word Security Feature Bypass Vulnerability
Microsoft Word 2010 Service Pack 2 (32-bit editions),4486740,10513,CVE-2020-17020,Microsoft Word Security Feature Bypass Vulnerability
Microsoft Word 2013 RT Service Pack 1,4486730,10606,CVE-2020-17020,Microsoft Word Security Feature Bypass Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17055,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17055,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17055,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17055,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17055,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17055,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17055,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17055,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17055,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17055,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17055,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17055,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17055,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17055,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17056,Windows Network File System Information Disclosure Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17057,Windows Win32k Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17057,Windows Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17057,Windows Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17057,Windows Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17057,Windows Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17057,Windows Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17057,Windows Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17057,Windows Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17057,Windows Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17068,Windows GDI+ Remote Code Execution Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17069,Windows NDIS Information Disclosure Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17070,Windows Update Medic Service Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17070,Windows Update Medic Service Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17070,Windows Update Medic Service Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17070,Windows Update Medic Service Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17070,Windows Update Medic Service Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17070,Windows Update Medic Service Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17070,Windows Update Medic Service Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17071,Windows Delivery Optimization Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17071,Windows Delivery Optimization Information Disclosure Vulnerability
