Azure DevOps Server 2019.0.1,Release Notes,11675,CVE-2021-27067,Azure DevOps Server and Team Foundation Server Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27079,Windows Media Photo Codec Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27079,Windows Media Photo Codec Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27079,Windows Media Photo Codec Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27079,Windows Media Photo Codec Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-27079,Windows Media Photo Codec Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-27079,Windows Media Photo Codec Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-27079,Windows Media Photo Codec Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-27088,Windows Event Tracing Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27088,Windows Event Tracing Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27088,Windows Event Tracing Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27088,Windows Event Tracing Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27088,Windows Event Tracing Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27088,Windows Event Tracing Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27088,Windows Event Tracing Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-27089,Microsoft Internet Messaging API Remote Code Execution Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27090,Windows Secure Kernel Mode Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27090,Windows Secure Kernel Mode Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-27091,RPC Endpoint Mapper Service Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-27091,RPC Endpoint Mapper Service Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-27091,RPC Endpoint Mapper Service Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-27091,RPC Endpoint Mapper Service Elevation of Privilege Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-27091,RPC Endpoint Mapper Service Elevation of Privilege Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-27091,RPC Endpoint Mapper Service Elevation of Privilege Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-27091,RPC Endpoint Mapper Service Elevation of Privilege Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-27091,RPC Endpoint Mapper Service Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for x64-based Systems,5001330,11800,CVE-2021-27092,Azure AD Web Sign-in Security Feature Bypass Vulnerability
Windows 10 Version 20H2 for x64-based Systems,5001330,11800,CVE-2021-27092,Azure AD Web Sign-in Security Feature Bypass Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-27092,Azure AD Web Sign-in Security Feature Bypass Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27092,Azure AD Web Sign-in Security Feature Bypass Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27092,Azure AD Web Sign-in Security Feature Bypass Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27092,Azure AD Web Sign-in Security Feature Bypass Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27092,Azure AD Web Sign-in Security Feature Bypass Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-27093,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-27094,Windows Early Launch Antimalware Driver Security Feature Bypass Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-27095,Windows Media Video Decoder Remote Code Execution Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-27096,NTFS Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-26413,Windows Installer Spoofing Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001335,10047,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,5001392,10047,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001389,9312,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,5001332,9312,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-26415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1809 for x64-based Systems,5001342,11569,CVE-2021-26416,Windows Hyper-V Denial of Service Vulnerability
Windows 10 Version 1809 for x64-based Systems,5001342,11569,CVE-2021-26416,Windows Hyper-V Denial of Service Vulnerability
Windows 10 Version 1909 for x64-based Systems,5001337,11713,CVE-2021-26416,Windows Hyper-V Denial of Service Vulnerability
Windows 10 Version 1909 for x64-based Systems,5001337,11713,CVE-2021-26416,Windows Hyper-V Denial of Service Vulnerability
Windows 10 Version 2004 for x64-based Systems,5001330,11768,CVE-2021-26416,Windows Hyper-V Denial of Service Vulnerability
Windows 10 Version 2004 for x64-based Systems,5001330,11768,CVE-2021-26416,Windows Hyper-V Denial of Service Vulnerability
Windows 10 Version 1607 for x64-based Systems,5001347,10853,CVE-2021-26416,Windows Hyper-V Denial of Service Vulnerability
Windows 10 Version 1607 for x64-based Systems,5001347,10853,CVE-2021-26416,Windows Hyper-V Denial of Service Vulnerability
