Azure Stack,Release Notes,11710,CVE-2019-1234,Azure Stack Spoofing Vulnerability
Windows Server 2016  (Server Core installation),4525236,10855,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1803 for 32-bit Systems,4525237,10724-11497,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1803 for 32-bit Systems,4525237,10724-11497,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1803 for x64-based Systems,4525237,10724-11498,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1803 for x64-based Systems,4525237,10724-11498,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1803 for ARM64-based Systems,4525237,10724-11563,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1803 for ARM64-based Systems,4525237,10724-11563,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1809 for 32-bit Systems,4523205,10724-11568,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1809 for 32-bit Systems,4523205,10724-11568,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1809 for x64-based Systems,4523205,10724-11569,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1809 for x64-based Systems,4523205,10724-11569,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1809 for ARM64-based Systems,4523205,10724-11570,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1809 for ARM64-based Systems,4523205,10724-11570,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows Server 2019,4523205,10724-11571,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows Server 2019,4523205,10724-11571,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for 32-bit Systems,4525241,10724-11453,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for 32-bit Systems,4525241,10724-11453,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for x64-based Systems,4525241,10724-11454,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for x64-based Systems,4525241,10724-11454,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for ARM64-based Systems,4525241,10724-11583,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for ARM64-based Systems,4525241,10724-11583,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1903 for 32-bit Systems,4524570,10724-11644,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1903 for 32-bit Systems,4524570,10724-11644,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1903 for x64-based Systems,4524570,10724-11645,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1903 for x64-based Systems,4524570,10724-11645,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1903 for ARM64-based Systems,4524570,10724-11646,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1903 for ARM64-based Systems,4524570,10724-11646,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for 32-bit Systems,4525236,10724-10852,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for 32-bit Systems,4525236,10724-10852,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for x64-based Systems,4525236,10724-10853,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for x64-based Systems,4525236,10724-10853,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows Server 2016,4525236,10724-10816,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows Server 2016,4525236,10724-10816,CVE-2019-1413,Microsoft Edge Security Feature Bypass Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4525237,11497,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4525237,11497,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1803 for x64-based Systems,4525237,11498,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1803 for x64-based Systems,4525237,11498,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server, version 1803  (Server Core Installation),4525237,11499,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server, version 1803  (Server Core Installation),4525237,11499,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1803 for ARM64-based Systems,4525237,11563,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1803 for ARM64-based Systems,4525237,11563,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4523205,11568,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4523205,11568,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1809 for x64-based Systems,4523205,11569,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1809 for x64-based Systems,4523205,11569,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1809 for ARM64-based Systems,4523205,11570,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1809 for ARM64-based Systems,4523205,11570,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2019,4523205,11571,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2019,4523205,11571,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2019  (Server Core installation),4523205,11572,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2019  (Server Core installation),4523205,11572,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1709 for 32-bit Systems,4525241,11453,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1709 for 32-bit Systems,4525241,11453,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1709 for x64-based Systems,4525241,11454,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1709 for x64-based Systems,4525241,11454,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1709 for ARM64-based Systems,4525241,11583,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1709 for ARM64-based Systems,4525241,11583,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1903 for 32-bit Systems,4524570,11644,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1903 for 32-bit Systems,4524570,11644,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1903 for x64-based Systems,4524570,11645,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1903 for x64-based Systems,4524570,11645,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1903 for ARM64-based Systems,4524570,11646,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1903 for ARM64-based Systems,4524570,11646,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server, version 1903 (Server Core installation),4524570,11647,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server, version 1903 (Server Core installation),4524570,11647,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4525232,10729,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4525232,10729,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 for x64-based Systems,4525232,10735,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 for x64-based Systems,4525232,10735,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4525236,10852,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4525236,10852,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1607 for x64-based Systems,4525236,10853,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1607 for x64-based Systems,4525236,10853,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2016,4525236,10816,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2016,4525236,10816,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2016  (Server Core installation),4525236,10855,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2016  (Server Core installation),4525236,10855,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4525235,10047,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4525233,10047,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 7 for x64-based Systems Service Pack 1,4525235,10048,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 7 for x64-based Systems Service Pack 1,4525233,10048,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4525243,10481,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4525243,10481,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4525250,10481,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4525250,10481,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 8.1 for x64-based systems,4525243,10482,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 8.1 for x64-based systems,4525243,10482,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 8.1 for x64-based systems,4525250,10482,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 8.1 for x64-based systems,4525250,10482,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows RT 8.1,4525243,10484,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows RT 8.1,4525243,10484,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4525234,9312,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4525239,9312,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation),4525234,10287,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation),4525239,10287,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 for Itanium-Based Systems Service Pack 2,4525234,9311,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 for Itanium-Based Systems Service Pack 2,4525239,9311,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 for x64-based Systems Service Pack 2,4525234,9318,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 for x64-based Systems Service Pack 2,4525239,9318,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation),4525234,9344,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation),4525239,9344,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1,4525235,10050,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1,4525233,10050,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 R2 for x64-based Systems Service Pack 1,4525235,10051,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 R2 for x64-based Systems Service Pack 1,4525233,10051,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),4525235,10049,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),4525233,10049,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012,4525246,10378,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012,4525246,10378,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012,4525253,10378,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012,4525253,10378,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012 (Server Core installation),4525246,10379,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012 (Server Core installation),4525246,10379,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012 (Server Core installation),4525253,10379,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012 (Server Core installation),4525253,10379,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012 R2,4525243,10483,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012 R2,4525243,10483,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012 R2,4525250,10483,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012 R2,4525250,10483,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012 R2 (Server Core installation),4525243,10543,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012 R2 (Server Core installation),4525243,10543,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012 R2 (Server Core installation),4525250,10543,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows Server 2012 R2 (Server Core installation),4525250,10543,CVE-2019-1415,Windows Installer Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4525237,11497,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4525237,11497,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1803 for x64-based Systems,4525237,11498,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1803 for x64-based Systems,4525237,11498,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows Server, version 1803  (Server Core Installation),4525237,11499,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows Server, version 1803  (Server Core Installation),4525237,11499,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1803 for ARM64-based Systems,4525237,11563,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1803 for ARM64-based Systems,4525237,11563,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4523205,11568,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4523205,11568,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1809 for x64-based Systems,4523205,11569,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1809 for x64-based Systems,4523205,11569,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1809 for ARM64-based Systems,4523205,11570,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1809 for ARM64-based Systems,4523205,11570,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows Server 2019,4523205,11571,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows Server 2019,4523205,11571,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows Server 2019  (Server Core installation),4523205,11572,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows Server 2019  (Server Core installation),4523205,11572,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1709 for 32-bit Systems,4525241,11453,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1709 for 32-bit Systems,4525241,11453,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1709 for x64-based Systems,4525241,11454,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1709 for x64-based Systems,4525241,11454,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1709 for ARM64-based Systems,4525241,11583,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1709 for ARM64-based Systems,4525241,11583,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1903 for 32-bit Systems,4524570,11644,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1903 for 32-bit Systems,4524570,11644,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1903 for x64-based Systems,4524570,11645,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1903 for x64-based Systems,4524570,11645,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1903 for ARM64-based Systems,4524570,11646,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1903 for ARM64-based Systems,4524570,11646,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows Server, version 1903 (Server Core installation),4524570,11647,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows Server, version 1903 (Server Core installation),4524570,11647,CVE-2019-1416,Windows Subsystem for Linux Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4525237,11497,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4525237,11497,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows 10 Version 1803 for x64-based Systems,4525237,11498,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows 10 Version 1803 for x64-based Systems,4525237,11498,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows Server, version 1803  (Server Core Installation),4525237,11499,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows Server, version 1803  (Server Core Installation),4525237,11499,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows 10 Version 1803 for ARM64-based Systems,4525237,11563,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows 10 Version 1803 for ARM64-based Systems,4525237,11563,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4523205,11568,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4523205,11568,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows 10 Version 1809 for x64-based Systems,4523205,11569,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows 10 Version 1809 for x64-based Systems,4523205,11569,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows 10 Version 1809 for ARM64-based Systems,4523205,11570,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows 10 Version 1809 for ARM64-based Systems,4523205,11570,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows Server 2019,4523205,11571,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows Server 2019,4523205,11571,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows Server 2019  (Server Core installation),4523205,11572,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows Server 2019  (Server Core installation),4523205,11572,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows 10 Version 1709 for 32-bit Systems,4525241,11453,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
Windows 10 Version 1709 for 32-bit Systems,4525241,11453,CVE-2019-1417,Windows Data Sharing Service Elevation of Privilege Vulnerability
